,cases_weekly,cases_weekly,cases_weekly,cases_weekly,cases_weekly,cases_weekly,cases_weekly,cases_weekly,cases_weekly,cases_weekly,cases_weekly,cases_weekly,cases_weekly,cases_weekly,cases_weekly,cases_weekly,cases_weekly,cases_weekly,cases_weekly,cases_weekly,cases_weekly,cases_weekly,cases_weekly,cases_weekly,cases_weekly,cases_weekly,cases_weekly,cases_weekly,cases_weekly,cases_weekly,cases_weekly,cases_weekly,cases_weekly,cases_weekly,cases_weekly,cases_weekly,cases_weekly,cases_weekly,cases_weekly,cases_weekly,cases_weekly,cases_weekly,cases_cumulative,cases_cumulative,cases_cumulative,cases_cumulative,cases_cumulative,cases_cumulative,cases_cumulative,cases_cumulative,cases_cumulative,cases_cumulative,cases_cumulative,cases_cumulative,cases_cumulative,cases_cumulative,cases_cumulative,cases_cumulative,cases_cumulative,cases_cumulative,cases_cumulative,cases_cumulative,cases_cumulative,cases_cumulative,cases_cumulative,cases_cumulative,cases_cumulative,cases_cumulative,cases_cumulative,cases_cumulative,cases_cumulative,cases_cumulative,cases_cumulative,cases_cumulative,cases_cumulative,cases_cumulative,cases_cumulative,cases_cumulative,cases_cumulative,cases_cumulative,cases_cumulative,cases_cumulative,cases_cumulative,cases_cumulative,case_rate_weekly,case_rate_weekly,case_rate_weekly,case_rate_weekly,case_rate_weekly,case_rate_weekly,case_rate_weekly,case_rate_weekly,case_rate_weekly,case_rate_weekly,case_rate_weekly,case_rate_weekly,case_rate_weekly,case_rate_weekly,case_rate_weekly,case_rate_weekly,case_rate_weekly,case_rate_weekly,case_rate_weekly,case_rate_weekly,case_rate_weekly,case_rate_weekly,case_rate_weekly,case_rate_weekly,case_rate_weekly,case_rate_weekly,case_rate_weekly,case_rate_weekly,case_rate_weekly,case_rate_weekly,case_rate_weekly,case_rate_weekly,case_rate_weekly,case_rate_weekly,case_rate_weekly,case_rate_weekly,case_rate_weekly,case_rate_weekly,case_rate_weekly,case_rate_weekly,case_rate_weekly,case_rate_weekly
60646,,,7.0,17.0,16.0,20.0,20.0,106.0,50.0,45.0,34.0,31.0,19.0,6.0,11.0,7.0,7.0,6.0,12.0,2.0,9.0,15.0,15.0,13.0,16.0,30.0,27.0,17.0,9.0,21.0,21.0,23.0,57.0,53.0,95.0,125.0,161.0,147.0,109.0,120.0,92.0,73.0,,,9.0,26.0,42.0,62.0,82.0,188.0,238.0,283.0,317.0,348.0,367.0,373.0,384.0,391.0,398.0,404.0,416.0,418.0,427.0,442.0,457.0,470.0,486.0,516.0,543.0,560.0,569.0,590.0,611.0,634.0,691.0,744.0,839.0,964.0,1125.0,1272.0,1381.0,1501.0,1593.0,1666.0,,,25.0,60.7,57.2,71.5,71.5,378.7,178.7,160.8,121.5,110.8,67.9,21.4,39.3,25.0,25.0,21.4,42.9,7.1,32.2,53.6,53.6,46.5,57.2,107.2,96.5,60.7,32.2,75.0,75.0,82.2,203.7,189.4,339.4,446.6,575.3,525.2,389.5,428.8,328.7,260.8
60647,,8.0,13.0,27.0,41.0,69.0,123.0,221.0,202.0,187.0,185.0,134.0,89.0,51.0,55.0,49.0,37.0,49.0,53.0,60.0,62.0,66.0,83.0,62.0,76.0,71.0,48.0,61.0,57.0,52.0,68.0,113.0,166.0,247.0,330.0,448.0,520.0,451.0,310.0,373.0,350.0,281.0,,8.0,21.0,48.0,89.0,158.0,281.0,502.0,704.0,891.0,1076.0,1210.0,1299.0,1350.0,1405.0,1454.0,1491.0,1540.0,1593.0,1653.0,1715.0,1781.0,1864.0,1926.0,2002.0,2073.0,2121.0,2182.0,2239.0,2291.0,2359.0,2472.0,2638.0,2885.0,3215.0,3663.0,4183.0,4634.0,4944.0,5317.0,5667.0,5948.0,,9.1,14.9,30.9,46.9,78.8,140.6,252.5,230.8,213.7,211.4,153.1,101.7,58.3,62.9,56.0,42.3,56.0,60.6,68.6,70.8,75.4,94.8,70.8,86.8,81.1,54.9,69.7,65.1,59.4,77.7,129.1,189.7,282.3,377.1,511.9,594.2,515.4,354.2,426.2,400.0,321.1
60649,,,28.0,48.0,70.0,74.0,96.0,191.0,79.0,67.0,52.0,53.0,42.0,24.0,13.0,15.0,14.0,21.0,35.0,30.0,30.0,29.0,24.0,25.0,16.0,21.0,16.0,17.0,12.0,13.0,18.0,39.0,51.0,60.0,75.0,127.0,179.0,144.0,116.0,118.0,120.0,79.0,,,28.0,76.0,146.0,220.0,316.0,507.0,586.0,653.0,705.0,758.0,800.0,824.0,837.0,852.0,866.0,887.0,922.0,952.0,982.0,1011.0,1035.0,1060.0,1076.0,1097.0,1113.0,1130.0,1142.0,1155.0,1173.0,1212.0,1263.0,1323.0,1398.0,1525.0,1704.0,1848.0,1964.0,2082.0,2202.0,2281.0,,,60.8,104.3,152.1,160.8,208.6,415.0,171.6,145.6,113.0,115.2,91.3,52.1,28.2,32.6,30.4,45.6,76.0,65.2,65.2,63.0,52.1,54.3,34.8,45.6,34.8,36.9,26.1,28.2,39.1,84.7,110.8,130.4,163.0,275.9,388.9,312.9,252.0,256.4,260.7,171.6
60651,,,15.0,66.0,77.0,117.0,122.0,201.0,270.0,239.0,202.0,212.0,148.0,55.0,57.0,38.0,31.0,33.0,41.0,60.0,58.0,48.0,76.0,69.0,54.0,59.0,59.0,35.0,46.0,55.0,58.0,63.0,102.0,164.0,263.0,369.0,453.0,409.0,286.0,367.0,331.0,252.0,,,15.0,81.0,158.0,275.0,397.0,598.0,868.0,1107.0,1309.0,1521.0,1669.0,1724.0,1781.0,1819.0,1850.0,1883.0,1924.0,1984.0,2042.0,2090.0,2166.0,2235.0,2289.0,2348.0,2407.0,2442.0,2488.0,2543.0,2601.0,2664.0,2766.0,2930.0,3193.0,3562.0,4015.0,4424.0,4710.0,5077.0,5408.0,5660.0,,,23.7,104.4,121.8,185.1,193.0,317.9,427.1,378.1,319.5,335.3,234.1,87.0,90.2,60.1,49.0,52.2,64.9,94.9,91.7,75.9,120.2,109.1,85.4,93.3,93.3,55.4,72.8,87.0,91.7,99.7,161.3,259.4,416.0,583.7,716.6,647.0,452.4,580.5,523.6,398.6
60652,,,12.0,44.0,62.0,52.0,68.0,99.0,150.0,113.0,98.0,122.0,70.0,45.0,18.0,29.0,27.0,35.0,53.0,30.0,38.0,34.0,36.0,54.0,61.0,75.0,70.0,50.0,61.0,57.0,78.0,108.0,94.0,138.0,192.0,282.0,322.0,221.0,182.0,228.0,179.0,136.0,,,12.0,56.0,118.0,170.0,238.0,337.0,487.0,600.0,698.0,820.0,890.0,935.0,953.0,982.0,1009.0,1044.0,1097.0,1127.0,1165.0,1199.0,1235.0,1289.0,1350.0,1425.0,1495.0,1545.0,1606.0,1663.0,1741.0,1849.0,1943.0,2081.0,2273.0,2555.0,2877.0,3098.0,3280.0,3508.0,3687.0,3823.0,,,27.3,100.2,141.2,118.4,154.9,225.5,341.6,257.4,223.2,277.9,159.4,102.5,41.0,66.0,61.5,79.7,120.7,68.3,86.5,77.4,82.0,123.0,138.9,170.8,159.4,113.9,138.9,129.8,177.6,246.0,214.1,314.3,437.3,642.3,733.4,503.3,414.5,519.3,407.7,309.7
60653,,,21.0,45.0,47.0,62.0,62.0,47.0,38.0,52.0,49.0,48.0,22.0,18.0,14.0,13.0,21.0,15.0,23.0,21.0,26.0,22.0,20.0,13.0,14.0,11.0,16.0,9.0,9.0,15.0,13.0,25.0,32.0,55.0,91.0,109.0,158.0,123.0,85.0,121.0,106.0,76.0,,,21.0,66.0,113.0,175.0,237.0,284.0,322.0,374.0,423.0,471.0,493.0,511.0,525.0,538.0,559.0,574.0,597.0,618.0,644.0,666.0,686.0,699.0,713.0,724.0,740.0,749.0,758.0,773.0,786.0,811.0,843.0,898.0,989.0,1098.0,1256.0,1379.0,1464.0,1585.0,1691.0,1767.0,,,65.7,140.7,147.0,193.9,193.9,147.0,118.9,162.6,153.3,150.1,68.8,56.3,43.8,40.7,65.7,46.9,71.9,65.7,81.3,68.8,62.6,40.7,43.8,34.4,50.0,28.1,28.1,46.9,40.7,78.2,100.1,172.0,284.6,340.9,494.2,384.7,265.9,378.5,331.5,237.7
60654,,,14.0,17.0,12.0,39.0,18.0,7.0,5.0,9.0,6.0,7.0,3.0,3.0,2.0,10.0,14.0,11.0,24.0,13.0,10.0,9.0,15.0,13.0,8.0,13.0,16.0,17.0,19.0,21.0,23.0,31.0,50.0,66.0,88.0,157.0,133.0,110.0,65.0,77.0,63.0,47.0,,,17.0,34.0,46.0,85.0,103.0,110.0,115.0,124.0,130.0,137.0,140.0,143.0,145.0,155.0,169.0,180.0,204.0,217.0,227.0,236.0,251.0,264.0,272.0,285.0,301.0,318.0,337.0,358.0,381.0,412.0,462.0,528.0,616.0,773.0,906.0,1016.0,1081.0,1158.0,1221.0,1268.0,,,73.2,88.8,62.7,203.8,94.1,36.6,26.1,47.0,31.4,36.6,15.7,15.7,10.5,52.3,73.2,57.5,125.4,67.9,52.3,47.0,78.4,67.9,41.8,67.9,83.6,88.8,99.3,109.7,120.2,162.0,261.3,344.9,459.9,820.5,695.1,574.9,339.7,402.4,329.2,245.6
60655,,,,30.0,44.0,36.0,34.0,29.0,22.0,19.0,16.0,17.0,11.0,7.0,1.0,3.0,8.0,11.0,31.0,26.0,23.0,26.0,36.0,53.0,38.0,50.0,24.0,19.0,23.0,32.0,27.0,37.0,97.0,129.0,137.0,210.0,283.0,194.0,132.0,163.0,136.0,80.0,,,,34.0,78.0,114.0,148.0,177.0,199.0,218.0,234.0,251.0,262.0,269.0,270.0,273.0,281.0,292.0,323.0,349.0,372.0,398.0,434.0,487.0,525.0,575.0,599.0,618.0,641.0,673.0,700.0,737.0,834.0,963.0,1100.0,1310.0,1593.0,1787.0,1919.0,2082.0,2218.0,2298.0,,,,104.2,152.8,125.0,118.0,100.7,76.4,66.0,55.5,59.0,38.2,24.3,3.5,10.4,27.8,38.2,107.6,90.3,79.9,90.3,125.0,184.0,131.9,173.6,83.3,66.0,79.9,111.1,93.7,128.5,336.8,447.9,475.6,729.1,982.5,673.5,458.3,565.9,472.2,277.7
60656,,,4.0,22.0,22.0,27.0,24.0,28.0,33.0,31.0,22.0,22.0,20.0,12.0,10.0,6.0,12.0,16.0,16.0,13.0,20.0,26.0,26.0,42.0,46.0,33.0,20.0,11.0,23.0,30.0,38.0,54.0,68.0,85.0,116.0,165.0,195.0,157.0,118.0,155.0,113.0,103.0,,,5.0,27.0,49.0,76.0,100.0,128.0,161.0,192.0,214.0,236.0,256.0,268.0,278.0,284.0,296.0,312.0,328.0,341.0,361.0,387.0,413.0,455.0,501.0,534.0,554.0,565.0,588.0,618.0,656.0,710.0,778.0,863.0,979.0,1144.0,1339.0,1496.0,1614.0,1769.0,1882.0,1985.0,,,14.5,79.8,79.8,97.9,87.0,101.5,119.7,112.4,79.8,79.8,72.5,43.5,36.3,21.8,43.5,58.0,58.0,47.1,72.5,94.3,94.3,152.3,166.8,119.7,72.5,39.9,83.4,108.8,137.8,195.8,246.6,308.2,420.6,598.3,707.1,569.3,427.9,562.0,409.7,373.5
60657,,14.0,30.0,40.0,35.0,33.0,19.0,28.0,33.0,26.0,30.0,25.0,19.0,8.0,18.0,11.0,19.0,26.0,53.0,45.0,39.0,24.0,30.0,45.0,52.0,42.0,57.0,55.0,67.0,56.0,45.0,87.0,89.0,148.0,234.0,330.0,358.0,273.0,162.0,199.0,145.0,101.0,,15.0,45.0,85.0,120.0,153.0,172.0,200.0,233.0,259.0,289.0,314.0,333.0,341.0,359.0,370.0,389.0,415.0,468.0,513.0,552.0,576.0,606.0,651.0,703.0,745.0,802.0,857.0,924.0,980.0,1025.0,1112.0,1201.0,1349.0,1583.0,1913.0,2271.0,2544.0,2706.0,2905.0,3050.0,3151.0,,20.0,42.8,57.1,50.0,47.1,27.1,40.0,47.1,37.1,42.8,35.7,27.1,11.4,25.7,15.7,27.1,37.1,75.7,64.2,55.7,34.3,42.8,64.2,74.2,60.0,81.4,78.5,95.6,79.9,64.2,124.2,127.0,211.3,334.0,471.1,511.0,389.7,231.3,284.1,207.0,144.2
60659,,,20.0,41.0,64.0,60.0,79.0,88.0,95.0,85.0,56.0,64.0,62.0,24.0,31.0,24.0,20.0,8.0,20.0,13.0,19.0,30.0,22.0,38.0,40.0,23.0,24.0,18.0,24.0,26.0,29.0,48.0,60.0,90.0,134.0,153.0,268.0,197.0,135.0,222.0,182.0,129.0,,,21.0,62.0,126.0,186.0,265.0,353.0,448.0,533.0,589.0,653.0,715.0,739.0,770.0,794.0,814.0,822.0,842.0,855.0,874.0,904.0,926.0,964.0,1004.0,1027.0,1051.0,1069.0,1093.0,1119.0,1148.0,1196.0,1256.0,1346.0,1480.0,1633.0,1901.0,2098.0,2233.0,2455.0,2637.0,2766.0,,,48.7,99.8,155.8,146.1,192.4,214.3,231.3,207.0,136.4,155.8,151.0,58.4,75.5,58.4,48.7,19.5,48.7,31.7,46.3,73.0,53.6,92.5,97.4,56.0,58.4,43.8,58.4,63.3,70.6,116.9,146.1,219.1,326.3,372.6,652.6,479.7,328.7,540.6,443.2,314.1
60660,,,12.0,19.0,28.0,52.0,67.0,42.0,50.0,40.0,28.0,36.0,31.0,22.0,10.0,22.0,17.0,10.0,25.0,20.0,23.0,17.0,13.0,31.0,19.0,28.0,19.0,17.0,34.0,32.0,22.0,17.0,43.0,64.0,101.0,124.0,162.0,111.0,93.0,124.0,98.0,71.0,,,16.0,35.0,63.0,115.0,182.0,224.0,274.0,314.0,342.0,378.0,409.0,431.0,441.0,463.0,480.0,490.0,515.0,535.0,558.0,575.0,588.0,619.0,638.0,666.0,685.0,702.0,736.0,768.0,790.0,807.0,850.0,914.0,1015.0,1139.0,1301.0,1412.0,1505.0,1629.0,1727.0,1798.0,,,27.8,43.9,64.8,120.3,154.9,97.1,115.6,92.5,64.8,83.3,71.7,50.9,23.1,50.9,39.3,23.1,57.8,46.3,53.2,39.3,30.1,71.7,43.9,64.8,43.9,39.3,78.6,74.0,50.9,39.3,99.4,148.0,233.6,286.8,374.6,256.7,215.1,286.8,226.6,164.2
60661,,,,9.0,3.0,2.0,3.0,4.0,3.0,4.0,6.0,2.0,2.0,1.0,1.0,3.0,7.0,5.0,8.0,4.0,20.0,10.0,6.0,5.0,4.0,5.0,5.0,11.0,10.0,6.0,9.0,20.0,25.0,25.0,39.0,54.0,55.0,39.0,22.0,27.0,19.0,19.0,,,,12.0,15.0,17.0,20.0,24.0,27.0,31.0,37.0,39.0,41.0,42.0,43.0,46.0,53.0,58.0,66.0,70.0,90.0,100.0,106.0,111.0,115.0,120.0,125.0,136.0,146.0,152.0,161.0,181.0,206.0,231.0,270.0,324.0,379.0,418.0,440.0,467.0,486.0,505.0,,,,90.7,30.2,20.1,30.2,40.3,30.2,40.3,60.4,20.1,20.1,10.1,10.1,30.2,70.5,50.4,80.6,40.3,201.5,100.7,60.4,50.4,40.3,50.4,50.4,110.8,100.7,60.4,90.7,201.5,251.9,251.9,392.9,544.0,554.1,392.9,221.6,272.0,191.4,191.4
60666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60707,,,,13.0,16.0,17.0,27.0,51.0,70.0,62.0,41.0,37.0,15.0,16.0,14.0,7.0,9.0,7.0,15.0,9.0,8.0,17.0,19.0,28.0,14.0,20.0,10.0,18.0,14.0,10.0,24.0,27.0,45.0,80.0,93.0,126.0,135.0,115.0,115.0,144.0,105.0,70.0,,,,14.0,30.0,47.0,74.0,125.0,195.0,257.0,298.0,335.0,350.0,366.0,380.0,387.0,396.0,403.0,418.0,427.0,435.0,452.0,471.0,499.0,513.0,533.0,543.0,561.0,575.0,585.0,609.0,636.0,681.0,761.0,854.0,980.0,1115.0,1230.0,1345.0,1489.0,1594.0,1664.0,,,,30.2,37.2,39.5,62.8,118.6,162.7,144.1,95.3,86.0,34.9,37.2,32.5,16.3,20.9,16.3,34.9,20.9,18.6,39.5,44.2,65.1,32.5,46.5,23.2,41.8,32.5,23.2,55.8,62.8,104.6,186.0,216.2,292.9,313.8,267.3,267.3,334.7,244.1,162.7
60827,,,,8.0,4.0,3.0,6.0,11.0,9.0,7.0,12.0,7.0,7.0,2.0,1.0,1.0,3.0,0.0,3.0,6.0,3.0,1.0,2.0,1.0,2.0,2.0,0.0,1.0,1.0,4.0,1.0,2.0,5.0,10.0,12.0,8.0,14.0,14.0,10.0,10.0,14.0,14.0,,,,11.0,15.0,18.0,24.0,35.0,44.0,51.0,63.0,70.0,77.0,79.0,80.0,81.0,84.0,84.0,87.0,93.0,96.0,97.0,99.0,100.0,102.0,104.0,104.0,105.0,106.0,110.0,111.0,113.0,118.0,128.0,140.0,148.0,162.0,176.0,186.0,196.0,210.0,224.0,,,,28.0,14.0,10.5,21.0,38.5,31.5,24.5,42.0,24.5,24.5,7.0,3.5,3.5,10.5,0.0,10.5,21.0,10.5,3.5,7.0,3.5,7.0,7.0,0.0,3.5,3.5,14.0,3.5,7.0,17.5,35.0,42.0,28.0,49.0,49.0,35.0,35.0,49.0,49.0
Unknown,,,,,5.0,6.0,6.0,10.0,19.0,9.0,6.0,21.0,4.0,5.0,4.0,6.0,1.0,3.0,4.0,4.0,2.0,1.0,5.0,5.0,3.0,5.0,2.0,1.0,6.0,0.0,10.0,13.0,14.0,11.0,40.0,55.0,97.0,102.0,50.0,131.0,81.0,69.0,,,,,7.0,13.0,19.0,29.0,48.0,57.0,63.0,84.0,88.0,93.0,97.0,103.0,104.0,107.0,111.0,115.0,117.0,118.0,123.0,128.0,131.0,136.0,138.0,139.0,145.0,145.0,155.0,168.0,182.0,193.0,233.0,288.0,385.0,487.0,537.0,668.0,749.0,818.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
